artist,track,id,shares
leon chang,green tea forest,04cLwY0SnKjMis9O2Ff8fB,7
The Weeknd,Blinding Lights,0VjIjW4GlUZAMYd2vXMi3b,2
X Ambassadors,Renegades,0fYVliAYKHuPmECRs1pbRf,8
The Cranberries,Linger,0gEyKnHvgkrkBM6fbeHdwK,5
Bruno Mars,When I Was Your Man,0nJW01T7XtvILxQgC5J7Wh,1
Toby Fox,Spear of Justice,0wae8KoprNjfrXWjYYHGy9,1
BoyWithUke,Long Drives,1APefTkgjjwQfZbUWQkOFc,1
League of Legends,Legends Never Die,1FpVJ7HpZInE2GvhVE2TwT,1
Toby Fox,MEGALOVANIA,1J03Vp93ybKIxfzYI4YJtL,9
Laufey,From The Start,1Ukxccao1BlWrPhYkcXbwZ,1
Frankie Valli & The Four Seasons,"December, 1963 (Oh What a Night!)",1hQFF33xi8ruavZNyovtUN,1
Lenka,The Show,1mHoqHeQClLBp5UO3TbUac,1
Olivia Rodrigo,hope ur ok,1zejeOnykpCoyVSit6Bwp3,1
Lovejoy,Call Me What You Like,21rYCEejlfM0LYRlfzxGeM,1
Amrit Kirtan,Ong Namo Guru Dev Namo,23ZnmSIVyi1nWSw3UDfui3,1
Two Steps from Hell,Victory,2F9xBxKbx2M0pbgtSu8fLf,1
王不醒,月老掉线,2FZhPlRcq38Bs1izPCvR7D,1
Halsey,Gasoline,2IO7yf562c1zLzpanal1DT,1
Kanye West,Big Brother,2L47m9erkB5KBZcaqWtYen,1
Electric Light Orchestra,Mr. Blue Sky,2RlgNHKcydI9sayD2Df2xp,1
Aaryan Shah,Renegade,2e0Zxf8VntbuwfosHQbIT1,1
Maroon 5,Sugar,2iuZJX9X9P0GKaE93xcPjk,1
Two Steps from Hell,Heart of Courage (No Choir),2krUWDNZUuYighZbiTM8FK,1
VALORANT,Die For You,2lz3zjQ5QCVXiyOzIk02vW,1
Sia,Chandelier,2s1sdSqGcKxpPr5lCl7jAV,1
Conan Gray,Crush Culture,2sHwSBNDZN2yjCtgwStYt1,1
Jazz Emu,True Meaning of the Season,2zCmQdpU9xZoPFEJXlSmKW,1
Halsey,Nightmare,340UVheS8z3ncW9TTUhAbc,1
Ichika Nito,i miss you,37Unx14mB8QnCx0bDjtCM8,1
Metallica,Enter Sandman (Remastered),3VqHuw0wFlIHcIPWkhIbdQ,1
Audioslave,Like a Stone,3YuaBvuZqcwN3CEAyyoaei,10
Leon Baker,Tears Of Change,3jQlNsMoO2C4NzwoBi9R6v,1
leon chang,frog summer,3zL1O6syHpc5QTBCd5mI3J,1
Ludwig van Beethoven,"Beethoven: String Quartet No. 7 in F Major, Op. 59 No. 1, ""Razumovsky"": IV. Allegro (Russian Theme)",48LZLWlKuyrcp4t0iQJeqd,1
Harry Styles,As It Was,4Dvkj6JhhA12EX05fT7y2e,1
Rick Astley,Never Gonna Give You Up,4PTG3Z6ehGkBFwjybzWkR8,2
Polyphia,Playing God,4S0zagxseJHOL5ZVnTQA6X,1
leon chang,popcorn castle,4w0TnaZ0xldmZfbTNKhCqi,2
A.R. Rahman,"Roja - Version, 1",4zS1GqwMvfSsA0g48qvxAq,9
Various Artists,Apoligize,584WJUkmDVvMKqhfBQih9J,1
VALORANT,RENEGADE,5JXWb7DqYJlXiFnJd9Vfgk,21
Lady Gaga,Poker Face,5R8dQOPq8haW94K7mgERlO,1
Kanye West,Flashing Lights,5TRPicyLGbAF2LGBFbHGvO,1
Halsey,Walls Could Talk,5ln5yQdUywVbf8HhFsOcd6,1
Conan Gray,The Exit,6PDWMQJ55ZYrGrSx3EZzl4,1
Stray Kids,24 to 25,6WM7pRXIeXuZ3Wowi9v1Wr,1
Four Tops,"I Can't Help Myself (Sugar Pie, Honey Bunch)",6b6IMqP565TbtFFZg9iFf3,1
The Burning Hell,Bird Queen of Garbage Island,6d7cXN8N3ld51P48AqLoJO,3
Taylor Swift,Karma,7KokYm8cMIXCsGVmUvKtqf,4
A.R. Rahman,Bombay Theme - Bombay / Soundtrack Version,7n6YJCoiTHtdhytgAliYDu,14
Ed Sheeran,Shape of You,7qiZfU4dY1lWllzX7mPBI3,1
